Train Accuracies:
0     0.666288
1     0.820707
2     0.845076
3     0.874621
4     0.889773
5     0.879167
6     0.920707
7     0.915909
8     0.916793
9     0.922727
10    0.925505
11    0.925631
12    0.928914
13    0.930682
14    0.943561
15    0.944192
16    0.937879
17    0.936111
18    0.936742
19    0.948611
20    0.947096
21    0.930177
22    0.942803
23    0.948485
24    0.957197
25    0.951010
26    0.953535
27    0.955051
28    0.951768
29    0.945960
30    0.965025
31    0.958586
32    0.963384
33    0.952146
34    0.940404
35    0.957702
36    0.960606
37    0.955051
38    0.961237
39    0.963636
40    0.959343
41    0.969192
42    0.961111
43    0.966793
44    0.959848
45    0.965152
46    0.960985
47    0.966035
48    0.970455
49    0.971338

Validation Accuracies:
0     0.709596
1     0.861616
2     0.897980
3     0.806566
4     0.864141
5     0.924242
6     0.909596
7     0.939394
8     0.942929
9     0.946970
10    0.965152
11    0.962121
12    0.882323
13    0.960101
14    0.957071
15    0.957071
16    0.915657
17    0.919697
18    0.934848
19    0.957576
20    0.952525
21    0.953030
22    0.898485
23    0.945455
24    0.962626
25    0.855556
26    0.953535
27    0.919192
28    0.892929
29    0.893434
30    0.951515
31    0.964646
32    0.968687
33    0.966162
34    0.931818
35    0.950505
36    0.936364
37    0.945455
38    0.950505
39    0.962626
40    0.960101
41    0.914646
42    0.942929
43    0.954545
44    0.973737
45    0.970202
46    0.966162
47    0.957576
48    0.938889
49    0.952020

Train Losses:
0     2.330050
1     0.469135
2     0.391332
3     0.325137
4     0.297457
5     0.328507
6     0.219464
7     0.237976
8     0.230423
9     0.216260
10    0.225245
11    0.202303
12    0.196656
13    0.202054
14    0.167945
15    0.176849
16    0.188535
17    0.175139
18    0.185796
19    0.154359
20    0.156648
21    0.215178
22    0.171101
23    0.153978
24    0.139981
25    0.154527
26    0.132651
27    0.130578
28    0.147664
29    0.163405
30    0.107838
31    0.120768
32    0.117920
33    0.145436
34    0.183393
35    0.128344
36    0.124601
37    0.144684
38    0.118121
39    0.106788
40    0.112987
41    0.093279
42    0.128182
43    0.100901
44    0.125950
45    0.109044
46    0.123951
47    0.108979
48    0.087751
49    0.082754

Validation Losses:
0     0.763244
1     0.339861
2     0.264922
3     0.591659
4     0.559084
5     0.227664
6     0.243384
7     0.182244
8     0.150442
9     0.158269
10    0.116624
11    0.127028
12    0.352774
13    0.120916
14    0.124297
15    0.122386
16    0.217758
17    0.275010
18    0.174896
19    0.138555
20    0.136830
21    0.125774
22    0.364202
23    0.150125
24    0.121127
25    0.448701
26    0.157960
27    0.254422
28    0.392012
29    0.229918
30    0.129710
31    0.114032
32    0.093978
33    0.143290
34    0.201144
35    0.214389
36    0.194480
37    0.147573
38    0.180385
39    0.119802
40    0.119507
41    0.310024
42    0.193181
43    0.141483
44    0.080031
45    0.093573
46    0.085331
47    0.136320
48    0.163466
49    0.129356

