Train Accuracies:
0     0.686869
1     0.824747
2     0.841667
3     0.862879
4     0.884343
5     0.906061
6     0.903914
7     0.919192
8     0.912879
9     0.927525
10    0.928914
11    0.933586
12    0.923106
13    0.939520
14    0.943308
15    0.946970
16    0.933586
17    0.941919
18    0.949495
19    0.939646
20    0.942298
21    0.952273
22    0.952020
23    0.949116
24    0.947475
25    0.956692
26    0.953662
27    0.928788
28    0.950884
29    0.951641
30    0.968687
31    0.963889
32    0.939646
33    0.947727
34    0.958460
35    0.940909
36    0.958081
37    0.962879
38    0.974369
39    0.966919
40    0.967677
41    0.967298
42    0.951894
43    0.964015
44    0.961490
45    0.960985
46    0.949116
47    0.964015
48    0.963889
49    0.970455

Validation Accuracies:
0     0.785354
1     0.812626
2     0.852525
3     0.839394
4     0.808586
5     0.852020
6     0.909091
7     0.840909
8     0.866162
9     0.932323
10    0.920707
11    0.948990
12    0.942424
13    0.856566
14    0.911111
15    0.904040
16    0.947980
17    0.961111
18    0.971717
19    0.958081
20    0.968687
21    0.934343
22    0.948485
23    0.945455
24    0.967677
25    0.958586
26    0.873232
27    0.931313
28    0.940404
29    0.963636
30    0.975758
31    0.964141
32    0.901515
33    0.940909
34    0.941414
35    0.961111
36    0.952525
37    0.980303
38    0.971717
39    0.960101
40    0.980303
41    0.953535
42    0.966162
43    0.963636
44    0.965152
45    0.962626
46    0.919697
47    0.944444
48    0.933333
49    0.981818

Train Losses:
0     3.192741
1     0.459861
2     0.406936
3     0.350043
4     0.303510
5     0.256068
6     0.256698
7     0.223538
8     0.252975
9     0.202857
10    0.190448
11    0.190265
12    0.223146
13    0.177805
14    0.165378
15    0.154248
16    0.192165
17    0.171232
18    0.142388
19    0.173483
20    0.169029
21    0.143688
22    0.147773
23    0.149791
24    0.154123
25    0.128986
26    0.139730
27    0.211880
28    0.156106
29    0.144653
30    0.091738
31    0.111084
32    0.186591
33    0.154307
34    0.124301
35    0.176355
36    0.124652
37    0.104750
38    0.073876
39    0.099364
40    0.097862
41    0.095554
42    0.141891
43    0.099530
44    0.124776
45    0.108730
46    0.143323
47    0.112097
48    0.105678
49    0.083385

Validation Losses:
0     0.561294
1     0.592700
2     0.389087
3     0.445579
4     0.482568
5     0.396047
6     0.253986
7     0.510504
8     0.366905
9     0.184445
10    0.214436
11    0.144654
12    0.159729
13    0.358798
14    0.225206
15    0.333597
16    0.163391
17    0.110772
18    0.087074
19    0.122634
20    0.096299
21    0.186069
22    0.155591
23    0.156702
24    0.088720
25    0.143245
26    0.494127
27    0.258654
28    0.195786
29    0.126841
30    0.080639
31    0.120596
32    0.276328
33    0.189985
34    0.155434
35    0.093974
36    0.127939
37    0.057356
38    0.078891
39    0.110554
40    0.062252
41    0.121121
42    0.091210
43    0.107298
44    0.122062
45    0.126198
46    0.206977
47    0.157559
48    0.154013
49    0.068461

