Train Accuracies:
0     0.650631
1     0.813005
2     0.833712
3     0.877273
4     0.889268
5     0.892803
6     0.904293
7     0.906692
8     0.909596
9     0.932449
10    0.920833
11    0.932576
12    0.933965
13    0.938258
14    0.942424
15    0.943687
16    0.948737
17    0.935354
18    0.937247
19    0.956692
20    0.953030
21    0.951641
22    0.942298
23    0.948611
24    0.952652
25    0.951263
26    0.953788
27    0.953030
28    0.952652
29    0.958460
30    0.958712
31    0.956566
32    0.967172
33    0.959217
34    0.956944
35    0.962626
36    0.967045
37    0.967929
38    0.956944
39    0.964520
40    0.973106
41    0.955051
42    0.977904
43    0.975758
44    0.976136
45    0.966035
46    0.962374
47    0.975505
48    0.970455
49    0.966919

Validation Accuracies:
0     0.797475
1     0.845960
2     0.885859
3     0.879798
4     0.892929
5     0.875253
6     0.944949
7     0.822727
8     0.899495
9     0.926768
10    0.915152
11    0.942929
12    0.907071
13    0.862626
14    0.964141
15    0.895455
16    0.965152
17    0.927273
18    0.921717
19    0.968687
20    0.983333
21    0.974747
22    0.940909
23    0.960101
24    0.947980
25    0.960101
26    0.938384
27    0.976768
28    0.915657
29    0.936364
30    0.950000
31    0.970202
32    0.961111
33    0.932828
34    0.941414
35    0.961616
36    0.947980
37    0.971212
38    0.973737
39    0.974242
40    0.969192
41    0.963131
42    0.920707
43    0.966162
44    0.932323
45    0.976263
46    0.961616
47    0.975758
48    0.940909
49    0.965657

Train Losses:
0     3.635974
1     0.463060
2     0.427429
3     0.324756
4     0.286043
5     0.297878
6     0.266453
7     0.249159
8     0.250408
9     0.189218
10    0.225840
11    0.189404
12    0.191636
13    0.179484
14    0.164057
15    0.165298
16    0.150083
17    0.193326
18    0.186245
19    0.133692
20    0.135693
21    0.148860
22    0.172142
23    0.147748
24    0.138494
25    0.133102
26    0.141028
27    0.143735
28    0.139051
29    0.119723
30    0.124545
31    0.124682
32    0.097945
33    0.121441
34    0.128856
35    0.111055
36    0.094978
37    0.093122
38    0.124173
39    0.105762
40    0.076986
41    0.139537
42    0.070863
43    0.080184
44    0.079195
45    0.104973
46    0.121920
47    0.077141
48    0.082733
49    0.097014

Validation Losses:
0     0.514483
1     0.386078
2     0.341990
3     0.334718
4     0.313393
5     0.324880
6     0.145098
7     0.442147
8     0.250250
9     0.217046
10    0.224309
11    0.180835
12    0.261887
13    0.414443
14    0.107655
15    0.320246
16    0.109339
17    0.199787
18    0.229881
19    0.101731
20    0.063890
21    0.088484
22    0.192765
23    0.109915
24    0.152237
25    0.112650
26    0.216603
27    0.066995
28    0.248131
29    0.203069
30    0.150578
31    0.114433
32    0.121528
33    0.202990
34    0.181079
35    0.144480
36    0.137163
37    0.088849
38    0.083245
39    0.083618
40    0.134092
41    0.113524
42    0.267535
43    0.111352
44    0.251995
45    0.082820
46    0.178685
47    0.078391
48    0.218007
49    0.117094

