Train Accuracies:
0     0.667424
1     0.817803
2     0.855051
3     0.870076
4     0.879545
5     0.890657
6     0.903535
7     0.907702
8     0.911995
9     0.926263
10    0.931061
11    0.931439
12    0.924116
13    0.932323
14    0.921591
15    0.932828
16    0.936869
17    0.927652
18    0.929293
19    0.946465
20    0.948359
21    0.940152
22    0.942677
23    0.948485
24    0.947980
25    0.940404
26    0.940404
27    0.949747
28    0.959091
29    0.956187
30    0.942551
31    0.948611
32    0.953157
33    0.955682
34    0.958333
35    0.955303
36    0.959343
37    0.952778
38    0.962247
39    0.964646
40    0.953662
41    0.960480
42    0.969949
43    0.965783
44    0.966414
45    0.963636
46    0.971465
47    0.970455
48    0.957323
49    0.971970

Validation Accuracies:
0     0.789394
1     0.803030
2     0.871212
3     0.807576
4     0.880808
5     0.896465
6     0.837374
7     0.910606
8     0.906566
9     0.935859
10    0.946465
11    0.874747
12    0.898485
13    0.943434
14    0.917677
15    0.930808
16    0.925253
17    0.905051
18    0.943434
19    0.963636
20    0.924242
21    0.902525
22    0.961616
23    0.968182
24    0.969697
25    0.940909
26    0.941919
27    0.972727
28    0.926768
29    0.939394
30    0.909596
31    0.957071
32    0.967172
33    0.934848
34    0.962626
35    0.962626
36    0.969192
37    0.946465
38    0.942929
39    0.981313
40    0.936869
41    0.934343
42    0.977778
43    0.972222
44    0.942424
45    0.945455
46    0.937879
47    0.941414
48    0.878788
49    0.954040

Train Losses:
0     4.314024
1     0.450048
2     0.369707
3     0.340767
4     0.312377
5     0.279239
6     0.257793
7     0.244481
8     0.246159
9     0.204814
10    0.199176
11    0.189459
12    0.206817
13    0.184659
14    0.219862
15    0.184563
16    0.166071
17    0.201778
18    0.192364
19    0.145978
20    0.146036
21    0.163456
22    0.166137
23    0.152778
24    0.141605
25    0.163436
26    0.174164
27    0.137138
28    0.119266
29    0.122410
30    0.162667
31    0.148858
32    0.126079
33    0.125863
34    0.112109
35    0.126303
36    0.119672
37    0.131353
38    0.107195
39    0.101918
40    0.138638
41    0.116395
42    0.085258
43    0.100106
44    0.100215
45    0.103563
46    0.083401
47    0.094759
48    0.120550
49    0.086257

Validation Losses:
0     0.486073
1     0.493108
2     0.334794
3     0.493993
4     0.298812
5     0.298509
6     0.379131
7     0.223586
8     0.296099
9     0.184030
10    0.143382
11    0.323902
12    0.275230
13    0.158265
14    0.251677
15    0.175132
16    0.203625
17    0.287559
18    0.170659
19    0.110261
20    0.200254
21    0.284459
22    0.099655
23    0.090845
24    0.088259
25    0.147552
26    0.160099
27    0.076759
28    0.201918
29    0.180747
30    0.236652
31    0.120319
32    0.093784
33    0.186467
34    0.098959
35    0.112162
36    0.075536
37    0.131941
38    0.161197
39    0.043733
40    0.160492
41    0.183156
42    0.064175
43    0.078878
44    0.166685
45    0.133356
46    0.185617
47    0.148459
48    0.271752
49    0.158997

