Train Accuracies:
0     0.660985
1     0.821591
2     0.851515
3     0.886237
4     0.901010
5     0.898106
6     0.918561
7     0.919318
8     0.931944
9     0.924116
10    0.933333
11    0.945833
12    0.923990
13    0.933207
14    0.952904
15    0.935732
16    0.951010
17    0.949747
18    0.948232
19    0.947727
20    0.927904
21    0.942298
22    0.955934
23    0.958333
24    0.956692
25    0.950126
26    0.955429
27    0.952399
28    0.965783
29    0.961364
30    0.961616
31    0.952652
32    0.973359
33    0.967172
34    0.968813
35    0.960859
36    0.963889
37    0.958333
38    0.971717
39    0.965404
40    0.972601
41    0.969444
42    0.954167
43    0.956439
44    0.975758
45    0.974874
46    0.971717
47    0.972854
48    0.975253
49    0.973485

Validation Accuracies:
0     0.835354
1     0.703535
2     0.894949
3     0.883333
4     0.766667
5     0.925758
6     0.930808
7     0.941414
8     0.949495
9     0.918182
10    0.957071
11    0.936869
12    0.922222
13    0.945455
14    0.848990
15    0.869192
16    0.946970
17    0.941414
18    0.916162
19    0.953030
20    0.924242
21    0.963131
22    0.973232
23    0.914646
24    0.900000
25    0.945960
26    0.971717
27    0.943939
28    0.962121
29    0.956566
30    0.968182
31    0.964141
32    0.968182
33    0.977273
34    0.973232
35    0.945455
36    0.962626
37    0.873737
38    0.975758
39    0.979293
40    0.983838
41    0.957071
42    0.923737
43    0.975253
44    0.976768
45    0.942424
46    0.949495
47    0.937879
48    0.985354
49    0.987879

Train Losses:
0     4.222177
1     0.446965
2     0.387977
3     0.307275
4     0.267884
5     0.273388
6     0.226776
7     0.221004
8     0.194739
9     0.210064
10    0.184601
11    0.155348
12    0.225252
13    0.194920
14    0.132786
15    0.182621
16    0.134164
17    0.151545
18    0.146081
19    0.158744
20    0.213836
21    0.172150
22    0.129317
23    0.124001
24    0.127442
25    0.161617
26    0.133042
27    0.145936
28    0.098795
29    0.119766
30    0.113271
31    0.148339
32    0.082311
33    0.096459
34    0.097294
35    0.118700
36    0.109177
37    0.129864
38    0.092487
39    0.101815
40    0.082053
41    0.091721
42    0.140582
43    0.138756
44    0.073852
45    0.079161
46    0.088101
47    0.068620
48    0.072433
49    0.081737

Validation Losses:
0     0.399310
1     0.783739
2     0.287127
3     0.287520
4     0.613333
5     0.213683
6     0.178291
7     0.157451
8     0.144829
9     0.221285
10    0.121291
11    0.202326
12    0.178093
13    0.141345
14    0.644694
15    0.381376
16    0.173258
17    0.172880
18    0.247379
19    0.136823
20    0.215112
21    0.107359
22    0.090225
23    0.248649
24    0.292958
25    0.151009
26    0.095215
27    0.156667
28    0.114287
29    0.117151
30    0.109686
31    0.111095
32    0.095614
33    0.069222
34    0.104812
35    0.192164
36    0.121666
37    0.435801
38    0.082613
39    0.069079
40    0.054425
41    0.119692
42    0.325984
43    0.077002
44    0.080939
45    0.193852
46    0.116063
47    0.174860
48    0.057855
49    0.043761

