Train Accuracies:
0     0.635227
1     0.828157
2     0.864394
3     0.883460
4     0.899747
5     0.896970
6     0.904293
7     0.925126
8     0.911742
9     0.921591
10    0.919697
11    0.935354
12    0.930429
13    0.922854
14    0.936995
15    0.938258
16    0.942551
17    0.926263
18    0.934722
19    0.935480
20    0.937753
21    0.939646
22    0.944697
23    0.948485
24    0.945328
25    0.945076
26    0.948990
27    0.954293
28    0.937626
29    0.950758
30    0.950379
31    0.950758
32    0.949747
33    0.951136
34    0.959848
35    0.959091
36    0.958460
37    0.951894
38    0.969949
39    0.947601
40    0.959975
41    0.962374
42    0.959470
43    0.963384
44    0.965657
45    0.967677
46    0.966793
47    0.962374
48    0.967677
49    0.970960

Validation Accuracies:
0     0.790909
1     0.811111
2     0.844444
3     0.867677
4     0.907071
5     0.933333
6     0.927778
7     0.923232
8     0.882828
9     0.943434
10    0.927273
11    0.948990
12    0.927778
13    0.945455
14    0.935354
15    0.911616
16    0.935354
17    0.829293
18    0.937374
19    0.937879
20    0.917172
21    0.919192
22    0.955556
23    0.894444
24    0.937374
25    0.929293
26    0.945455
27    0.954040
28    0.943939
29    0.955051
30    0.876263
31    0.936869
32    0.971212
33    0.916162
34    0.958081
35    0.925758
36    0.967677
37    0.943939
38    0.934343
39    0.943434
40    0.973232
41    0.952525
42    0.952525
43    0.962121
44    0.959091
45    0.967677
46    0.964141
47    0.947475
48    0.968687
49    0.950505

Train Losses:
0     4.587590
1     0.428838
2     0.350226
3     0.298637
4     0.261570
5     0.274707
6     0.258674
7     0.204618
8     0.238435
9     0.206740
10    0.209468
11    0.173394
12    0.182905
13    0.201620
14    0.172220
15    0.174958
16    0.151013
17    0.208923
18    0.179360
19    0.185265
20    0.179560
21    0.177121
22    0.149090
23    0.140623
24    0.150749
25    0.146448
26    0.147687
27    0.137087
28    0.172789
29    0.141888
30    0.129988
31    0.143974
32    0.148517
33    0.133782
34    0.109495
35    0.115095
36    0.121069
37    0.138339
38    0.091782
39    0.150080
40    0.111546
41    0.105508
42    0.109474
43    0.101830
44    0.093903
45    0.094241
46    0.097382
47    0.099723
48    0.086437
49    0.085495

Validation Losses:
0     0.524049
1     0.451628
2     0.406920
3     0.373692
4     0.263252
5     0.183474
6     0.196634
7     0.192783
8     0.326147
9     0.157626
10    0.195917
11    0.143242
12    0.198421
13    0.140072
14    0.164436
15    0.270356
16    0.181036
17    0.428301
18    0.162949
19    0.142093
20    0.230449
21    0.206608
22    0.131629
23    0.258819
24    0.176846
25    0.165833
26    0.140884
27    0.117912
28    0.185200
29    0.110103
30    0.362309
31    0.149819
32    0.084325
33    0.227296
34    0.113112
35    0.352509
36    0.086135
37    0.162648
38    0.190886
39    0.156035
40    0.069413
41    0.130080
42    0.124155
43    0.123760
44    0.115636
45    0.101690
46    0.116989
47    0.137955
48    0.089105
49    0.114389

