Train Accuracies:
0     0.676515
1     0.820960
2     0.856061
3     0.871717
4     0.892803
5     0.895076
6     0.912121
7     0.908965
8     0.923611
9     0.919823
10    0.921717
11    0.926010
12    0.944318
13    0.926641
14    0.939899
15    0.939773
16    0.948611
17    0.944697
18    0.948864
19    0.942803
20    0.945455
21    0.950253
22    0.956818
23    0.941793
24    0.955429
25    0.953030
26    0.953914
27    0.953662
28    0.953283
29    0.963131
30    0.961742
31    0.960859
32    0.948106
33    0.961869
34    0.946465
35    0.967929
36    0.966162
37    0.966288
38    0.969949
39    0.965152
40    0.962121
41    0.971717
42    0.973232
43    0.964520
44    0.967298
45    0.970707
46    0.974116
47    0.971465
48    0.967551
49    0.977778

Validation Accuracies:
0     0.821212
1     0.762626
2     0.887374
3     0.820707
4     0.855556
5     0.889899
6     0.885354
7     0.888889
8     0.922222
9     0.920707
10    0.863131
11    0.958586
12    0.891919
13    0.902020
14    0.901515
15    0.931313
16    0.930303
17    0.976768
18    0.921717
19    0.950505
20    0.952525
21    0.926263
22    0.960101
23    0.975253
24    0.958081
25    0.922727
26    0.962626
27    0.931313
28    0.947475
29    0.966162
30    0.945455
31    0.971717
32    0.952525
33    0.946970
34    0.919697
35    0.969697
36    0.975758
37    0.960606
38    0.963636
39    0.971717
40    0.959596
41    0.955051
42    0.945960
43    0.960606
44    0.970707
45    0.985859
46    0.969192
47    0.960606
48    0.927778
49    0.929293

Train Losses:
0     3.439264
1     0.451217
2     0.364738
3     0.346462
4     0.292437
5     0.287600
6     0.245761
7     0.242809
8     0.211820
9     0.219007
10    0.215897
11    0.211704
12    0.164488
13    0.202900
14    0.180899
15    0.178621
16    0.147614
17    0.161937
18    0.146726
19    0.167089
20    0.163087
21    0.154919
22    0.130567
23    0.180577
24    0.128988
25    0.137983
26    0.137295
27    0.137362
28    0.145192
29    0.117715
30    0.113472
31    0.117888
32    0.153309
33    0.116310
34    0.161461
35    0.107210
36    0.098345
37    0.110339
38    0.094409
39    0.101701
40    0.106010
41    0.086920
42    0.084718
43    0.108370
44    0.097479
45    0.092846
46    0.077603
47    0.089809
48    0.093460
49    0.065357

Validation Losses:
0     0.452491
1     0.635791
2     0.270531
3     0.476146
4     0.424041
5     0.301988
6     0.297411
7     0.341491
8     0.212949
9     0.204599
10    0.362301
11    0.113201
12    0.340587
13    0.341903
14    0.332666
15    0.174946
16    0.234291
17    0.072107
18    0.201108
19    0.155738
20    0.156042
21    0.186748
22    0.135158
23    0.071755
24    0.162246
25    0.236135
26    0.104073
27    0.186681
28    0.220487
29    0.102516
30    0.149633
31    0.077816
32    0.137685
33    0.170184
34    0.247072
35    0.080416
36    0.067757
37    0.111063
38    0.093745
39    0.077531
40    0.138335
41    0.127267
42    0.183502
43    0.106664
44    0.105543
45    0.043821
46    0.088617
47    0.106764
48    0.194926
49    0.211555

