Train Accuracies:
0     0.650631
1     0.799621
2     0.819697
3     0.860101
4     0.873611
5     0.901515
6     0.911616
7     0.915404
8     0.927652
9     0.923359
10    0.930051
11    0.930177
12    0.936869
13    0.930556
14    0.944571
15    0.928030
16    0.927146
17    0.952020
18    0.949242
19    0.952525
20    0.950379
21    0.948864
22    0.958333
23    0.963384
24    0.938889
25    0.953662
26    0.958207
27    0.956944
28    0.948611
29    0.954545
30    0.964015
31    0.968056
32    0.960101
33    0.964646
34    0.962247
35    0.965278
36    0.966919
37    0.955051
38    0.944192
39    0.960227
40    0.973737
41    0.968308
42    0.975505
43    0.964141
44    0.961364
45    0.975000
46    0.972854
47    0.971086
48    0.972601
49    0.970455

Validation Accuracies:
0     0.762626
1     0.793434
2     0.854545
3     0.877778
4     0.911111
5     0.889899
6     0.865657
7     0.946465
8     0.914646
9     0.920202
10    0.913636
11    0.928788
12    0.924747
13    0.934343
14    0.963131
15    0.815152
16    0.897980
17    0.953535
18    0.897475
19    0.911111
20    0.942424
21    0.970202
22    0.962626
23    0.962121
24    0.858586
25    0.939394
26    0.951010
27    0.937374
28    0.946465
29    0.958081
30    0.921717
31    0.959596
32    0.974747
33    0.951515
34    0.951010
35    0.959596
36    0.909596
37    0.957071
38    0.860101
39    0.950505
40    0.933333
41    0.963636
42    0.948990
43    0.879798
44    0.949495
45    0.941919
46    0.960101
47    0.928788
48    0.968687
49    0.976768

Train Losses:
0     3.586524
1     0.493080
2     0.459489
3     0.349650
4     0.330927
5     0.263113
6     0.241476
7     0.221747
8     0.208371
9     0.218653
10    0.191844
11    0.195528
12    0.190879
13    0.193019
14    0.157515
15    0.211213
16    0.205399
17    0.135873
18    0.136828
19    0.132714
20    0.146721
21    0.152572
22    0.123432
23    0.114119
24    0.176028
25    0.128533
26    0.129328
27    0.126116
28    0.160137
29    0.136281
30    0.109555
31    0.100265
32    0.120979
33    0.105224
34    0.108894
35    0.097726
36    0.096088
37    0.134767
38    0.162061
39    0.121974
40    0.074643
41    0.099371
42    0.068026
43    0.104770
44    0.114112
45    0.085929
46    0.075186
47    0.087803
48    0.089673
49    0.097574

Validation Losses:
0     0.632056
1     0.475392
2     0.347520
3     0.296715
4     0.235011
5     0.305915
6     0.334511
7     0.146975
8     0.234682
9     0.217697
10    0.280062
11    0.236801
12    0.209859
13    0.171880
14    0.110202
15    0.490717
16    0.257986
17    0.151219
18    0.283583
19    0.269691
20    0.167420
21    0.076791
22    0.133358
23    0.131230
24    0.424637
25    0.192008
26    0.150660
27    0.190951
28    0.186827
29    0.151884
30    0.191915
31    0.121599
32    0.072922
33    0.155931
34    0.168594
35    0.136886
36    0.248944
37    0.129698
38    0.453995
39    0.145609
40    0.200525
41    0.100720
42    0.192971
43    0.315677
44    0.171775
45    0.166660
46    0.126902
47    0.212919
48    0.084805
49    0.086379

