Train Accuracies:
0     0.672475
1     0.829672
2     0.845455
3     0.857955
4     0.881692
5     0.899874
6     0.893813
7     0.919571
8     0.901263
9     0.921465
10    0.935859
11    0.937121
12    0.932071
13    0.938005
14    0.932323
15    0.927146
16    0.938131
17    0.948106
18    0.947348
19    0.936995
20    0.945328
21    0.948611
22    0.947854
23    0.950758
24    0.956692
25    0.954040
26    0.952273
27    0.946970
28    0.954167
29    0.956061
30    0.955429
31    0.952904
32    0.958712
33    0.971338
34    0.960480
35    0.960480
36    0.966667
37    0.966162
38    0.970960
39    0.957955
40    0.963384
41    0.957449
42    0.961237
43    0.961364
44    0.977273
45    0.966288
46    0.956944
47    0.975505
48    0.968182
49    0.971717

Validation Accuracies:
0     0.804040
1     0.843939
2     0.832323
3     0.887879
4     0.921212
5     0.889899
6     0.905556
7     0.927778
8     0.956566
9     0.868182
10    0.950000
11    0.871717
12    0.859596
13    0.945960
14    0.907576
15    0.937879
16    0.966162
17    0.896465
18    0.948990
19    0.954040
20    0.965152
21    0.957576
22    0.928283
23    0.954545
24    0.946970
25    0.938384
26    0.968687
27    0.961616
28    0.965152
29    0.975253
30    0.935354
31    0.925758
32    0.965152
33    0.965657
34    0.971717
35    0.948485
36    0.960606
37    0.966162
38    0.965152
39    0.970202
40    0.943434
41    0.923737
42    0.952525
43    0.951010
44    0.974747
45    0.957071
46    0.957071
47    0.965152
48    0.970202
49    0.918182

Train Losses:
0     3.094907
1     0.433248
2     0.384105
3     0.358145
4     0.321568
5     0.269114
6     0.286082
7     0.225478
8     0.276714
9     0.208848
10    0.182785
11    0.184865
12    0.196552
13    0.169200
14    0.195745
15    0.221262
16    0.191698
17    0.156591
18    0.157132
19    0.175120
20    0.157797
21    0.143373
22    0.153094
23    0.139031
24    0.128747
25    0.142244
26    0.145255
27    0.157568
28    0.142727
29    0.125138
30    0.130995
31    0.148034
32    0.130159
33    0.085634
34    0.121261
35    0.119018
36    0.095760
37    0.093625
38    0.088437
39    0.121178
40    0.114617
41    0.134638
42    0.118094
43    0.111977
44    0.066379
45    0.103287
46    0.128473
47    0.073201
48    0.101144
49    0.080699

Validation Losses:
0     0.510269
1     0.362741
2     0.438472
3     0.289926
4     0.199254
5     0.287750
6     0.245396
7     0.197804
8     0.145965
9     0.354303
10    0.137471
11    0.520410
12    0.375693
13    0.158709
14    0.232890
15    0.182133
16    0.104882
17    0.317930
18    0.148041
19    0.133680
20    0.100445
21    0.145553
22    0.238401
23    0.131879
24    0.162796
25    0.189347
26    0.075685
27    0.109238
28    0.120232
29    0.080331
30    0.197605
31    0.226350
32    0.119678
33    0.098399
34    0.089635
35    0.147721
36    0.153689
37    0.097755
38    0.106832
39    0.101364
40    0.193815
41    0.238089
42    0.192933
43    0.139967
44    0.080093
45    0.111492
46    0.124225
47    0.124164
48    0.127633
49    0.325805

